name,link,date_of_birth,age,height,weight,spike,block
Bianka Busa,/en/group1/competition/teams/srb-serbia/players/bianka-busa?id=59640,25/07/1994,26,187,74,312,298
Sanja Malagurski,/en/group1/competition/teams/srb-serbia/players/sanja-malagurski?id=59643,08/06/1990,30,193,74,305,295
Bojana Drca,/en/group1/competition/teams/srb-serbia/players/bojana-drca?id=59656,29/03/1988,32,186,70,298,283
Tijana Malesevic,/en/group1/competition/teams/srb-serbia/players/tijana-malesevic?id=59644,18/03/1991,29,185,78,300,286
Ana Antonijevic,/en/group1/competition/teams/srb-serbia/players/ana-antonijevic?id=59636,26/08/1987,33,185,71,282,269
Brankica Mihajlovic,/en/group1/competition/teams/srb-serbia/players/brankica-mihajlovic?id=59645,13/04/1991,29,190,83,302,290
Stefana Veljkovic,/en/group1/competition/teams/srb-serbia/players/stefana-veljkovic?id=59655,09/01/1990,30,190,76,325,310
Teodora Pusic,/en/group1/competition/teams/srb-serbia/players/teodora-pusic?id=59651,12/03/1993,27,170,58,270,260
Ana Bjelica,/en/group1/competition/teams/srb-serbia/players/ana-bjelica?id=59637,03/04/1992,28,190,78,310,305
Jovana Stevanovic,/en/group1/competition/teams/srb-serbia/players/jovana-stevanovic?id=59654,30/06/1992,28,192,72,308,295
Milena Rasic,/en/group1/competition/teams/srb-serbia/players/milena-rasic?id=59653,25/10/1990,30,193,72,315,310
Tijana Boškovic,/en/group1/competition/teams/srb-serbia/players/tijana-bo%c5%a1kovic?id=59639,08/03/1997,23,193,82,315,300
Bojana Milenkovic,/en/group1/competition/teams/srb-serbia/players/bojana-milenkovic?id=59646,06/03/1997,23,185,70,294,288
Jelena Blagojevic,/en/group1/competition/teams/srb-serbia/players/jelena-blagojevic?id=59638,01/12/1988,32,181,67,302,284
Gizem Orge,/en/group1/competition/teams/tur-turkey/players/gizem-orge?id=59138,26/04/1993,27,170,59,270,260
Simge Sebnem Akoz,/en/group1/competition/teams/tur-turkey/players/simge-sebnem-akoz?id=59127,23/04/1991,29,168,56,250,245
Seyma Ercan,/en/group1/competition/teams/tur-turkey/players/seyma-ercan?id=59135,05/07/1994,26,187,73,305,294
Gamze Alikaya,/en/group1/competition/teams/tur-turkey/players/gamze-alikaya?id=59128,01/01/1993,27,179,68,300,280
Kubra Caliskan,/en/group1/competition/teams/tur-turkey/players/kubra-caliskan?id=59126,13/10/1994,26,198,86,310,310
Polen Uslupehlivan,/en/group1/competition/teams/tur-turkey/players/polen-uslupehlivan?id=59140,27/08/1990,30,193,65,320,310
Meliha Ismailoglu,/en/group1/competition/teams/tur-turkey/players/meliha-ismailoglu?id=59136,17/09/1993,27,188,73,303,291
Ezgi Dilik,/en/group1/competition/teams/tur-turkey/players/ezgi-dilik?id=59133,12/06/1995,25,177,72,288,280
Ozge Nur Yurtdagulen,/en/group1/competition/teams/tur-turkey/players/ozge-nur-yurtdagulen?id=59144,06/08/1993,27,193,67,320,310
Hande Baladin,/en/group1/competition/teams/tur-turkey/players/hande-baladin?id=59130,01/09/1997,23,190,81,309,300
Beyza Arici,/en/group1/competition/teams/tur-turkey/players/beyza-arici?id=59994,27/07/1995,25,193,83,303,294
Dicle Nur Babat,/en/group1/competition/teams/tur-turkey/players/dicle-nur-babat?id=59129,15/09/1992,28,190,78,300,290
Fatma Yildirim,/en/group1/competition/teams/tur-turkey/players/fatma-yildirim?id=59141,03/01/1990,30,180,64,304,292
Meryem Boz,/en/group1/competition/teams/tur-turkey/players/meryem-boz?id=59131,03/02/1988,32,190,68,323,313
Xinyue Yuan,/en/group1/competition/teams/chn-china/players/xinyue-yuan?id=59121,21/12/1996,24,201,78,317,311
Ting Zhu,/en/group1/competition/teams/chn-china/players/ting-zhu?id=59124,29/11/1994,26,198,78,327,300
Jing Li,/en/group1/competition/teams/chn-china/players/jing-li?id=59109,09/08/1991,29,186,73,310,305
Jingwen Qian,/en/group1/competition/teams/chn-china/players/jingwen-qian?id=59114,11/05/1998,22,186,70,305,297
Yi Gao,/en/group1/competition/teams/chn-china/players/yi-gao?id=59106,22/07/1998,22,193,66,304,298
Xiangyu Gong,/en/group1/competition/teams/chn-china/players/xiangyu-gong?id=59108,21/04/1997,23,186,72,313,302
Linyu Diao,/en/group1/competition/teams/chn-china/players/linyu-diao?id=59104,07/04/1994,26,182,69,309,303
Changning Zhang,/en/group1/competition/teams/chn-china/players/changning-zhang?id=59122,06/11/1995,25,193,80,315,303
Xiaotong Liu,/en/group1/competition/teams/chn-china/players/xiaotong-liu?id=59112,16/02/1990,30,188,80,312,300
Yixin Zheng,/en/group1/competition/teams/chn-china/players/yixin-zheng?id=59123,06/05/1995,25,187,71,316,307
Li Lin,/en/group1/competition/teams/chn-china/players/li-lin?id=59111,05/07/1992,28,171,65,294,294
Xia Ding,/en/group1/competition/teams/chn-china/players/xia-ding?id=59105,13/01/1990,30,180,67,305,300
Yuanyuan Wang,/en/group1/competition/teams/chn-china/players/yuanyuan-wang?id=59117,14/07/1997,23,195,75,312,300
Mengjie Wang,/en/group1/competition/teams/chn-china/players/mengjie-wang?id=59116,14/11/1995,25,172,65,289,280
Indre Sorokaite,/en/group1/competition/teams/ita-italy/players/indre-sorokaite?id=59395,02/07/1988,32,188,80,303,280
Sara Loda,/en/group1/competition/teams/ita-italy/players/sara-loda?id=59389,22/08/1990,30,178,75,308,287
Sara Bonifacio,/en/group1/competition/teams/ita-italy/players/sara-bonifacio?id=59377,03/07/1996,24,188,75,328,310
Ofelia Malinov,/en/group1/competition/teams/ita-italy/players/ofelia-malinov?id=59390,29/02/1996,24,185,70,304,285
Monica De Gennaro,/en/group1/competition/teams/ita-italy/players/monica-de-gennaro?id=59384,08/01/1987,33,174,67,292,217
Raphaela Folie,/en/group1/competition/teams/ita-italy/players/raphaela-folie?id=59387,07/03/1991,29,187,73,324,300
Alessia Orro,/en/group1/competition/teams/ita-italy/players/alessia-orro?id=59392,18/07/1998,22,180,74,308,231
Caterina Bosetti,/en/group1/competition/teams/ita-italy/players/caterina-bosetti?id=59378,02/02/1994,26,179,59,299,281
Cristina Chirichella,/en/group1/competition/teams/ita-italy/players/cristina-chirichella?id=59381,10/02/1994,26,194,79,322,306
Anna Danesi,/en/group1/competition/teams/ita-italy/players/anna-danesi?id=59382,20/04/1996,24,198,78,312,294
Miryam Fatime Sylla,/en/group1/competition/teams/ita-italy/players/miryam-fatime-sylla?id=59386,08/01/1995,25,184,80,320,240
Lucia Bosetti,/en/group1/competition/teams/ita-italy/players/lucia-bosetti?id=59379,09/07/1989,31,178,63,310,292
Paola Ogechi Egonu,/en/group1/competition/teams/ita-italy/players/paola-ogechi-egonu?id=59391,18/12/1998,22,193,80,344,321
Beatrice Parrocchiale,/en/group1/competition/teams/ita-italy/players/beatrice-parrocchiale?id=59394,26/12/1995,25,168,59,286,258
Micha Hancock,/en/group1/competition/teams/usa-usa/players/micha-hancock?id=58663,10/11/1992,28,180,75,305,297
Carli Lloyd,/en/group1/competition/teams/usa-usa/players/carli-lloyd?id=58664,06/08/1989,31,180,75,313,295
Justine Wong-Orantes,/en/group1/competition/teams/usa-usa/players/justine-wong-orantes?id=58674,06/10/1995,25,168,66,282,277
Sarah Wilhite,/en/group1/competition/teams/usa-usa/players/sarah-wilhite?id=59277,30/07/1995,25,185,75,305,300
Tetori Dixon,/en/group1/competition/teams/usa-usa/players/tetori-dixon?id=58661,04/08/1992,28,191,83,306,295
Lauren Gibbemeyer,/en/group1/competition/teams/usa-usa/players/lauren-gibbemeyer?id=58662,08/09/1988,32,187,71,307,293
Madison Kingdon Rishel,/en/group1/competition/teams/usa-usa/players/madison-kingdon-rishel?id=58710,20/04/1993,27,183,75,307,298
Andrea Drews,/en/group1/competition/teams/usa-usa/players/andrea-drews?id=59214,25/12/1993,27,191,77,316,312
Kelly Murphy,/en/group1/competition/teams/usa-usa/players/kelly-murphy?id=58667,20/10/1989,31,188,79,315,307
Michelle Bartsch-Hackley,/en/group1/competition/teams/usa-usa/players/michelle-bartsch-hackley?id=58657,12/02/1990,30,190,78,305,296
Megan Courtney,/en/group1/competition/teams/usa-usa/players/megan-courtney?id=58660,27/10/1993,27,185,61,314,300
Hannah Tapp,/en/group1/competition/teams/usa-usa/players/hannah-tapp?id=58672,21/06/1995,25,191,77,297,290
Amanda Benson,/en/group1/competition/teams/usa-usa/players/amanda-benson?id=58658,09/03/1995,25,169,63,265,257
Paige Tapp,/en/group1/competition/teams/usa-usa/players/paige-tapp?id=58673,21/06/1995,25,191,71,294,288
Annerys Victoria Vargas Valdez,/en/group1/competition/teams/dom-dominican%20republic/players/annerys-victoria-vargas-valdez?id=57336,07/08/1981,39,196,70,327,320
Marianne Fersola Norberto,/en/group1/competition/teams/dom-dominican%20republic/players/marianne-fersola-norberto?id=57317,16/01/1992,28,191,60,315,310
Brenda Castillo,/en/group1/competition/teams/dom-dominican%20republic/players/brenda-castillo?id=60540,05/06/1992,28,167,55,245,230
Camil Inmaculada Dominguez Martinez,/en/group1/competition/teams/dom-dominican%20republic/players/camil-inmaculada-dominguez-martinez?id=57315,07/12/1991,29,176,75,285,270
Niverka Dharlenis Marte Frica,/en/group1/competition/teams/dom-dominican%20republic/players/niverka-dharlenis-marte-frica?id=57323,19/10/1990,30,178,71,295,283
Jeoselyna Rodriguez Santos,/en/group1/competition/teams/dom-dominican%20republic/players/jeoselyna-rodriguez-santos?id=57334,09/12/1991,29,187,63,325,315
Prisilla Rivera Brens,/en/group1/competition/teams/dom-dominican%20republic/players/prisilla-rivera-brens?id=57332,29/12/1984,36,183,67,309,305
Yonkaira Paola Peña Isabel,/en/group1/competition/teams/dom-dominican%20republic/players/yonkaira-paola-pe%c3%b1a-isabel?id=57329,10/05/1993,27,190,70,320,310
Gina Altagracia Mambru Casilla,/en/group1/competition/teams/dom-dominican%20republic/players/gina-altagracia-mambru-casilla?id=57322,21/01/1986,34,182,65,330,315
Bethania De La Cruz De Peña,/en/group1/competition/teams/dom-dominican%20republic/players/bethania-de-la-cruz-de-pe%c3%b1a?id=60541,13/05/1987,33,188,70,330,320
Brayelin Elizabeth Martinez,/en/group1/competition/teams/dom-dominican%20republic/players/brayelin-elizabeth-martinez?id=57324,11/09/1996,24,201,83,330,320
Jineiry Martinez,/en/group1/competition/teams/dom-dominican%20republic/players/jineiry-martinez?id=57325,03/12/1997,23,190,68,305,280
Sarina Koga,/en/group1/competition/teams/jpn-japan/players/sarina-koga?id=58739,21/05/1996,24,180,67,302,290
Nana Iwasaka,/en/group1/competition/teams/jpn-japan/players/nana-iwasaka?id=58737,03/07/1990,30,187,75,297,293
Risa Shinnabe,/en/group1/competition/teams/jpn-japan/players/risa-shinnabe?id=58748,11/07/1990,30,173,64,292,285
Haruyo Shimamura,/en/group1/competition/teams/jpn-japan/players/haruyo-shimamura?id=58747,04/03/1992,28,182,78,297,290
Koyomi Iwasaki,/en/group1/competition/teams/jpn-japan/players/koyomi-iwasaki?id=58753,01/05/1989,31,175,68,295,280
Yurie Nabeya,/en/group1/competition/teams/jpn-japan/players/yurie-nabeya?id=58742,15/12/1993,27,176,55,305,292
Miya Sato,/en/group1/competition/teams/jpn-japan/players/miya-sato?id=58746,07/03/1990,30,175,62,278,275
Mai Okumura,/en/group1/competition/teams/jpn-japan/players/mai-okumura?id=58744,31/10/1990,30,177,69,295,285
Ayaka Matsumoto,/en/group1/competition/teams/jpn-japan/players/ayaka-matsumoto?id=58740,26/12/1988,32,188,68,313,302
Risa Ishii,/en/group1/competition/teams/jpn-japan/players/risa-ishii?id=58735,19/05/1990,30,179,65,305,277
Mami Uchiseto,/en/group1/competition/teams/jpn-japan/players/mami-uchiseto?id=58754,25/10/1991,29,170,74,295,285
Mako Kobata,/en/group1/competition/teams/jpn-japan/players/mako-kobata?id=58738,15/08/1992,28,164,56,285,274
Kotoe Inoue,/en/group1/competition/teams/jpn-japan/players/kotoe-inoue?id=58734,15/02/1990,30,162,55,286,275
Rika Nomoto,/en/group1/competition/teams/jpn-japan/players/rika-nomoto?id=58743,21/09/1991,29,180,72,308,291
Kirsten Knip,/en/group1/competition/teams/ned-netherlands/players/kirsten-knip?id=56307,14/09/1992,28,175,70,281,275
Femke Stoltenborg,/en/group1/competition/teams/ned-netherlands/players/femke-stoltenborg?id=58000,30/07/1991,29,189,81,303,299
Yvon Belien,/en/group1/competition/teams/ned-netherlands/players/yvon-belien?id=56301,28/12/1993,27,188,73,307,303
Celeste Plak,/en/group1/competition/teams/ned-netherlands/players/celeste-plak?id=56311,26/10/1995,25,190,87,314,302
Robin De Kruijf,/en/group1/competition/teams/ned-netherlands/players/robin-de-kruijf?id=56305,05/05/1991,29,192,81,313,300
Maret Balkestein-Grothues,/en/group1/competition/teams/ned-netherlands/players/maret-balkestein-grothues?id=56300,16/09/1988,32,180,68,304,285
Myrthe Schoot,/en/group1/competition/teams/ned-netherlands/players/myrthe-schoot?id=56312,29/08/1988,32,182,70,298,286
Anne Buijs,/en/group1/competition/teams/ned-netherlands/players/anne-buijs?id=56303,02/12/1991,29,191,73,317,299
Laura Dijkema,/en/group1/competition/teams/ned-netherlands/players/laura-dijkema?id=56306,18/02/1990,30,184,70,293,279
Nicole Oude Luttikhuis,/en/group1/competition/teams/ned-netherlands/players/nicole-oude-luttikhuis?id=56309,26/12/1997,23,191,82,312,305
Marrit Jasper,/en/group1/competition/teams/ned-netherlands/players/marrit-jasper?id=58002,28/02/1996,24,180,75,300,285
Nika Daalderop,/en/group1/competition/teams/ned-netherlands/players/nika-daalderop?id=56304,29/11/1998,22,189,72,317,308
Tessa Polder,/en/group1/competition/teams/ned-netherlands/players/tessa-polder?id=57998,10/10/1997,23,189,76,301,293
Nicole Koolhaas,/en/group1/competition/teams/ned-netherlands/players/nicole-koolhaas?id=56308,31/01/1991,29,198,77,310,300
Mara Ferreira Leao,/en/group1/competition/teams/bra-brazil/players/mara-ferreira-leao?id=59260,26/07/1991,29,190,84,320,301
Macris Fernanda Silva Carneiro,/en/group1/competition/teams/bra-brazil/players/macris-fernanda-silva-carneiro?id=59274,03/03/1989,31,178,64,292,275
Ana Carolina Da Silva,/en/group1/competition/teams/bra-brazil/players/ana-carolina-da-silva?id=59259,08/04/1991,29,183,73,290,290
Adenizia Da Silva,/en/group1/competition/teams/bra-brazil/players/adenizia-da-silva?id=59258,18/12/1986,34,185,63,312,290
Rosamaria Montibeller,/en/group1/competition/teams/bra-brazil/players/rosamaria-montibeller?id=59261,09/04/1994,26,185,76,291,285
Roberta Silva Ratzke,/en/group1/competition/teams/bra-brazil/players/roberta-silva-ratzke?id=59262,28/04/1990,30,185,71,287,278
Tandara Caixeta,/en/group1/competition/teams/bra-brazil/players/tandara-caixeta?id=59257,30/10/1988,32,184,87,305,297
Natalia Pereira,/en/group1/competition/teams/bra-brazil/players/natalia-pereira?id=59271,04/04/1989,31,186,83,311,295
Amanda Francisco,/en/group1/competition/teams/bra-brazil/players/amanda-francisco?id=59269,16/08/1988,32,180,62,304,286
Gabriella Souza,/en/group1/competition/teams/bra-brazil/players/gabriella-souza?id=59273,14/12/1993,27,175,69,296,273
Drussyla Costa,/en/group1/competition/teams/bra-brazil/players/drussyla-costa?id=59266,01/07/1996,24,182,73,304,286
Suelen Pinto,/en/group1/competition/teams/bra-brazil/players/suelen-pinto?id=59272,04/10/1987,33,166,81,256,238
Ana Beatriz Correa,/en/group1/competition/teams/bra-brazil/players/ana-beatriz-correa?id=59265,07/02/1992,28,187,70,298,292
Monique Marinho Pavao,/en/group1/competition/teams/bra-brazil/players/monique-marinho-pavao?id=59276,31/10/1986,34,178,67,294,285
Sarina Koga,/en/group1/competition/teams/jpn-japan/players/sarina-koga?id=58739,21/05/1996,24,180,67,302,290
Nana Iwasaka,/en/group1/competition/teams/jpn-japan/players/nana-iwasaka?id=58737,03/07/1990,30,187,75,297,293
Risa Shinnabe,/en/group1/competition/teams/jpn-japan/players/risa-shinnabe?id=58748,11/07/1990,30,173,64,292,285
Haruyo Shimamura,/en/group1/competition/teams/jpn-japan/players/haruyo-shimamura?id=58747,04/03/1992,28,182,78,297,290
Koyomi Iwasaki,/en/group1/competition/teams/jpn-japan/players/koyomi-iwasaki?id=58753,01/05/1989,31,175,68,295,280
Yurie Nabeya,/en/group1/competition/teams/jpn-japan/players/yurie-nabeya?id=58742,15/12/1993,27,176,55,305,292
Miya Sato,/en/group1/competition/teams/jpn-japan/players/miya-sato?id=58746,07/03/1990,30,175,62,278,275
Mai Okumura,/en/group1/competition/teams/jpn-japan/players/mai-okumura?id=58744,31/10/1990,30,177,69,295,285
Ayaka Matsumoto,/en/group1/competition/teams/jpn-japan/players/ayaka-matsumoto?id=58740,26/12/1988,32,188,68,313,302
Risa Ishii,/en/group1/competition/teams/jpn-japan/players/risa-ishii?id=58735,19/05/1990,30,179,65,305,277
Mami Uchiseto,/en/group1/competition/teams/jpn-japan/players/mami-uchiseto?id=58754,25/10/1991,29,170,74,295,285
Mako Kobata,/en/group1/competition/teams/jpn-japan/players/mako-kobata?id=58738,15/08/1992,28,164,56,285,274
Kotoe Inoue,/en/group1/competition/teams/jpn-japan/players/kotoe-inoue?id=58734,15/02/1990,30,162,55,286,275
Rika Nomoto,/en/group1/competition/teams/jpn-japan/players/rika-nomoto?id=58743,21/09/1991,29,180,72,308,291
Bianka Busa,/en/group1/competition/teams/srb-serbia/players/bianka-busa?id=59640,25/07/1994,26,187,74,312,298
Sanja Malagurski,/en/group1/competition/teams/srb-serbia/players/sanja-malagurski?id=59643,08/06/1990,30,193,74,305,295
Bojana Drca,/en/group1/competition/teams/srb-serbia/players/bojana-drca?id=59656,29/03/1988,32,186,70,298,283
Tijana Malesevic,/en/group1/competition/teams/srb-serbia/players/tijana-malesevic?id=59644,18/03/1991,29,185,78,300,286
Ana Antonijevic,/en/group1/competition/teams/srb-serbia/players/ana-antonijevic?id=59636,26/08/1987,33,185,71,282,269
Brankica Mihajlovic,/en/group1/competition/teams/srb-serbia/players/brankica-mihajlovic?id=59645,13/04/1991,29,190,83,302,290
Stefana Veljkovic,/en/group1/competition/teams/srb-serbia/players/stefana-veljkovic?id=59655,09/01/1990,30,190,76,325,310
Teodora Pusic,/en/group1/competition/teams/srb-serbia/players/teodora-pusic?id=59651,12/03/1993,27,170,58,270,260
Ana Bjelica,/en/group1/competition/teams/srb-serbia/players/ana-bjelica?id=59637,03/04/1992,28,190,78,310,305
Jovana Stevanovic,/en/group1/competition/teams/srb-serbia/players/jovana-stevanovic?id=59654,30/06/1992,28,192,72,308,295
Milena Rasic,/en/group1/competition/teams/srb-serbia/players/milena-rasic?id=59653,25/10/1990,30,193,72,315,310
Tijana Boškovic,/en/group1/competition/teams/srb-serbia/players/tijana-bo%c5%a1kovic?id=59639,08/03/1997,23,193,82,315,300
Bojana Milenkovic,/en/group1/competition/teams/srb-serbia/players/bojana-milenkovic?id=59646,06/03/1997,23,185,70,294,288
Jelena Blagojevic,/en/group1/competition/teams/srb-serbia/players/jelena-blagojevic?id=59638,01/12/1988,32,181,67,302,284
Xinyue Yuan,/en/group1/competition/teams/chn-china/players/xinyue-yuan?id=59121,21/12/1996,24,201,78,317,311
Ting Zhu,/en/group1/competition/teams/chn-china/players/ting-zhu?id=59124,29/11/1994,26,198,78,327,300
Jing Li,/en/group1/competition/teams/chn-china/players/jing-li?id=59109,09/08/1991,29,186,73,310,305
Jingwen Qian,/en/group1/competition/teams/chn-china/players/jingwen-qian?id=59114,11/05/1998,22,186,70,305,297
Yi Gao,/en/group1/competition/teams/chn-china/players/yi-gao?id=59106,22/07/1998,22,193,66,304,298
Xiangyu Gong,/en/group1/competition/teams/chn-china/players/xiangyu-gong?id=59108,21/04/1997,23,186,72,313,302
Linyu Diao,/en/group1/competition/teams/chn-china/players/linyu-diao?id=59104,07/04/1994,26,182,69,309,303
Changning Zhang,/en/group1/competition/teams/chn-china/players/changning-zhang?id=59122,06/11/1995,25,193,80,315,303
Xiaotong Liu,/en/group1/competition/teams/chn-china/players/xiaotong-liu?id=59112,16/02/1990,30,188,80,312,300
Yixin Zheng,/en/group1/competition/teams/chn-china/players/yixin-zheng?id=59123,06/05/1995,25,187,71,316,307
Li Lin,/en/group1/competition/teams/chn-china/players/li-lin?id=59111,05/07/1992,28,171,65,294,294
Xia Ding,/en/group1/competition/teams/chn-china/players/xia-ding?id=59105,13/01/1990,30,180,67,305,300
Yuanyuan Wang,/en/group1/competition/teams/chn-china/players/yuanyuan-wang?id=59117,14/07/1997,23,195,75,312,300
Mengjie Wang,/en/group1/competition/teams/chn-china/players/mengjie-wang?id=59116,14/11/1995,25,172,65,289,280
Indre Sorokaite,/en/group1/competition/teams/ita-italy/players/indre-sorokaite?id=59395,02/07/1988,32,188,80,303,280
